Id,SalePrice
1461,126120.4602
1462,161770.0359
1463,183108.9757
1464,192726.2069
1465,186978.6595
1466,173152.6013
1467,173596.4217
1468,162249.8593
1469,182639.9394
1470,124542.0138
1471,197925.8706
1472,94975.2781
1473,97213.3226
1474,148708.8305
1475,117484.367
1476,388234.0548
1477,255367.5606
1478,290007.6562
1479,294071.0992
1480,481594.8119
1481,324277.777
1482,203731.3607
1483,172436.7947
1484,165591.709
1485,182173.153
1486,196963.2482
1487,333294.7742
1488,232478.7401
1489,204279.9659
1490,226846.9335
1491,195067.6542
1492,97860.793
1493,176266.2639
1494,301059.1047
1495,295383.1605
1496,230945.2927
1497,180435.9104
1498,159603.4714
1499,157975.7305
1500,153405.9959
1501,175511.3348
1502,144878.6669
1503,290946.6381
1504,238301.1237
1505,224224.396
1506,177735.5479
1507,245612.2328
1508,201895.6022
1509,158580.2671
1510,145383.2365
1511,146078.7591
1512,169826.0774
1513,136514.628
1514,156773.3771
1515,197113.7173
1516,148697.145
1517,164894.8124
1518,126938.3817
1519,224133.5566
1520,133312.3692
1521,137615.8617
1522,166703.0273
1523,109398.7482
1524,120172.48
1525,125154.8901
1526,116339.1274
1527,106700.2002
1528,133977.0893
1529,146671.4349
1530,173301.6506
1531,108735.006
1532,99064.6026
1533,145902.4141
1534,118747.593
1535,154888.0647
1536,112259.7498
1537,72052.5382
1538,152919.7047
1539,190782.5407
1540,96634.0031
1541,143225.8837
1542,132903.7699
1543,199772.0414
1544,78959.5418
1545,102144.5433
1546,126413.67
1547,128178.7586
1548,132439.1927
1549,113676.4629
1550,134491.2126
1551,112140.758
1552,136636.0985
1553,150872.9771
1554,112514.4378
1555,168344.3274
1556,83185.0251
1557,104462.8383
1558,90847.4279
1559,77268.9
1560,134313.4252
1561,122249.8934
1562,127720.1185
1563,118777.2488
1564,160460.3576
1565,145496.2974
1566,236225.0752
1567,73414.0366
1568,228684.7511
1569,139855.9446
1570,141335.1959
1571,119956.2708
1572,147482.6278
1573,262301.5884
1574,110309.6635
1575,235485.8662
1576,238202.4699
1577,195796.3758
1578,142836.0839
1579,143604.4974
1580,193347.4554
1581,151395.7115
1582,124406.0889
1583,336056.4663
1584,230750.8119
1585,141248.0688
1586,73615.5081
1587,97290.2372
1588,148411.7584
1589,96503.0928
1590,133809.1561
1591,95816.0147
1592,119527.7504
1593,125540.1192
1594,137807.0519
1595,109817.916
1596,235774.5024
1597,186057.4265
1598,204990.3315
1599,172382.0624
1600,171343.9282
1601,64709.5962
1602,117578.3532
1603,80801.0174
1604,271660.7924
1605,245030.4709
1606,166557.9314
1607,165344.0125
1608,212808.4332
1609,193018.8467
1610,148901.1117
1611,137810.7146
1612,165860.2799
1613,162032.304
1614,122669.467
1615,86030.7917
1616,72209.3014
1617,86269.9231
1618,122555.1559
1619,139976.8573
1620,157752.2222
1621,137096.779
1622,137898.1822
1623,275486.919
1624,215673.6226
1625,123389.456
1626,161255.3256
1627,187331.3986
1628,284322.8929
1629,175925.7698
1630,370473.9175
1631,206245.2823
1632,236372.5869
1633,170972.6204
1634,183351.97
1635,177333.5911
1636,153112.3047
1637,189546.9785
1638,196980.7561
1639,180367.7435
1640,257885.8312
1641,177831.0203
1642,228730.2242
1643,224571.872
1644,229342.851
1645,188546.5828
1646,155780.8147
1647,160070.644
1648,129454.2927
1649,135599.0803
1650,115582.6034
1651,121782.6406
1652,95135.2519
1653,95538.623
1654,148021.4375
1655,145273.6378
1656,144248.4191
1657,148670.5915
1658,147449.98
1659,123299.9796
1660,157532.3929
1661,456756.2688
1662,413454.836
1663,399078.038
1664,457050.8318
1665,311910.891
1666,342338.6826
1667,358206.1414
1668,342957.9032
1669,292522.9095
1670,357462.0495
1671,268131.5468
1672,445502.8588
1673,300162.8297
1674,244827.1617
1675,187752.0403
1676,187755.9923
1677,215360.4564
1678,448249.2787
1679,406633.3702
1680,331060.9785
1681,245867.9449
1682,312980.4283
1683,181202.6199
1684,177523.7991
1685,170847.0054
1686,173591.7807
1687,168448.5639
1688,192501.9978
1689,196313.8622
1690,195551.8934
1691,181425.3312
1692,268350.8011
1693,170390.5612
1694,176404.6866
1695,162528.3107
1696,277838.6078
1697,164230.4345
1698,369786.7311
1699,323624.5482
1700,249024.551
1701,270159.2515
1702,247877.8098
1703,250247.3302
1704,290246.1018
1705,229594.2343
1706,403635.6815
1707,210869.6421
1708,202916.8202
1709,269961.5266
1710,223366.6336
1711,256864.3559
1712,261012.5216
1713,289256.0619
1714,219292.3875
1715,203360.4393
1716,189760.3906
1717,174370.7403
1718,133838.0514
1719,203246.9517
1720,240936.0333
1721,169451.6741
1722,127364.3397
1723,156391.8651
1724,209070.1019
1725,240803.6108
1726,186950.4347
1727,161352.7565
1728,181528.0975
1729,161923.5473
1730,154860.6802
1731,119124.8673
1732,126043.282
1733,119497.2007
1734,116286.2566
1735,136941.3823
1736,113549.4775
1737,329445.1119
1738,227598.8129
1739,258277.8892
1740,212564.3786
1741,196524.4787
1742,166667.985
1743,171779.6585
1744,312509.3682
1745,216436.9941
1746,183116.1362
1747,226428.474
1748,229641.5061
1749,149448.6783
1750,129345.1129
1751,245759.1594
1752,119402.8773
1753,139320.4203
1754,193787.2494
1755,169449.1835
1756,121508.1768
1757,120046.364
1758,141685.8123
1759,164561.5559
1760,162446.5322
1761,139305.1015
1762,177378.7298
1763,169458.2382
1764,116860.625
1765,151986.0165
1766,179110.619
1767,218871.79
1768,144303.0166
1769,172638.8761
1770,146864.7212
1771,125689.0157
1772,139422.4444
1773,130095.6362
1774,136452.8129
1775,133029.5876
1776,123414.7305
1777,113225.384
1778,139113.6372
1779,119922.4205
1780,175699.118
1781,127523.1284
1782,88861.5279
1783,144842.2084
1784,104940.8347
1785,119719.9984
1786,141140.2735
1787,158968.4127
1788,61227.9219
1789,102611.5927
1790,80729.3517
1791,181214.7486
1792,152030.2284
1793,128882.0185
1794,148993.8194
1795,132846.1806
1796,131617.3487
1797,116356.7018
1798,124736.0985
1799,111683.3026
1800,129843.1631
1801,129526.7647
1802,128726.898
1803,146966.1141
1804,144132.5596
1805,135562.2637
1806,121629.554
1807,124312.3642
1808,124358.437
1809,122150.4955
1810,139069.777
1811,92541.1713
1812,96755.5543
1813,125612.6093
1814,89468.2741
1815,52962.0702
1816,95848.9281
1817,111496.2523
1818,149290.7834
1819,125088.7745
1820,58521.1196
1821,110504.5819
1822,148147.5595
1823,46592.5442
1824,133343.2455
1825,135680.1891
1826,106575.023
1827,102208.5683
1828,128939.023
1829,117054.6676
1830,136716.0898
1831,151056.762
1832,82861.8797
1833,135059.1418
1834,126957.186
1835,125029.3982
1836,125801.0962
1837,91352.6932
1838,125888.6374
1839,90108.2972
1840,164243.6823
1841,140720.7701
1842,75454.008
1843,132137.5415
1844,136508.8818
1845,141406.5752
1846,151081.3767
1847,165214.2571
1848,53294.1626
1849,107140.6727
1850,117828.4307
1851,156941.114
1852,128986.6961
1853,134773.4065
1854,167950.0197
1855,150635.0154
1856,225720.4315
1857,158620.2971
1858,137460.6129
1859,117126.6862
1860,153306.3894
1861,117135.2362
1862,302470.1504
1863,284690.2339
1864,284691.0021
1865,340475.1085
1866,345542.3548
1867,238978.7732
1868,315545.1227
1869,208032.8766
1870,228883.1271
1871,247303.8792
1872,173108.783
1873,240070.9439
1874,145013.1901
1875,200861.1734
1876,189109.3799
1877,213182.869
1878,197715.3573
1879,133800.5131
1880,133267.7585
1881,249804.4459
1882,256744.7419
1883,193039.1014
